Position,team,win,draw,loss,gf,ga,point
1,ATLETICO MADRID,26,8,4,67,25,86
2,REAL MADRID,25,9,4,67,28,84
3,BARCELONA,24,7,7,85,38,79
4,SEVILLA,24,5,9,53,33,77
5,REAL SOCIEDAD,17,11,10,59,38,62
6,REAL BETIS,17,10,11,50,50,61
7,VILLARREAL,15,13,10,60,44,58
8,CELTA VIGO,14,11,13,55,57,53
10,GRANADA,13,7,18,47,65,46
10,ATHLETIC CLUB,11,13,14,46,42,46
12,OSASUNA,11,11,16,37,48,44
12,CADIZ,11,11,16,36,58,44
13,VALENCIA,10,13,15,50,53,43
14,LEVANTE,9,14,15,46,57,41
16,GETAFE,9,11,18,28,43,38
16,ALAVES,9,11,18,36,57,38
17,ELCHE,8,12,18,34,55,36
18,HUESCA,7,13,18,34,53,34
19,VALLADOLID,5,16,17,34,57,31
20,EIBAR,6,12,20,29,52,30
