Position,team,win,draw,loss,gf,ga,point
1,BARCELONA,18,3,5,71,25,57
2,ATLETICO MADRID,16,8,2,43,16,56
3,REAL MADRID,16,6,4,55,25,54
4,ATHLETIC CLUB,13,9,4,44,23,48
5,VILLARREAL,12,8,5,48,35,44
6,REAL BETIS,10,8,8,34,33,38
8,RAYO VALLECANO,9,9,8,28,27,36
8,MALLORCA,10,6,10,25,32,36
9,REAL SOCIEDAD,10,4,12,23,27,34
12,CELTA VIGO,9,6,11,38,40,33
12,SEVILLA,8,9,9,31,36,33
12,OSASUNA,7,12,7,32,37,33
13,GIRONA,9,5,12,34,39,32
14,GETAFE,7,9,10,21,21,30
16,LEGANES,6,9,11,23,38,27
16,ESPANYOL,7,6,12,24,36,27
18,VALENCIA,5,9,12,28,44,24
18,LAS PALMAS,6,6,14,30,44,24
19,ALAVES,5,8,13,29,40,23
20,VALLADOLID,4,4,18,17,60,16
