team,win,draw,loss,gf,ga,point
REAL MADRID,29,8,1,87,26,95
BARCELONA,26,7,5,79,44,85
GIRONA,25,6,7,85,46,81
ATLETICO MADRID,24,4,10,70,43,76
ATHLETIC CLUB,19,11,8,61,37,68
REAL SOCIEDAD,16,12,10,51,39,60
REAL BETIS,14,15,9,48,45,57
VILLARREAL,14,11,13,65,65,53
VALENCIA,13,10,15,40,45,49
ALAVES,12,10,16,36,46,46
OSASUNA,12,9,17,45,56,45
GETAFE,10,13,15,42,54,43
SEVILLA,10,11,17,48,54,41
CELTA VIGO,10,11,17,46,57,41
LAS PALMAS,10,10,18,33,47,40
MALLORCA,8,16,14,33,44,40
RAYO VALLECANO,8,14,16,29,48,38
CADIZ,6,15,17,26,55,33
GRANADA,4,9,25,38,79,21
ALMERIA,3,12,23,43,75,21
REAL MADRID,29,8,1,87,26,95
BARCELONA,26,7,5,79,44,85
GIRONA,25,6,7,85,46,81
ATLETICO MADRID,24,4,10,70,43,76
ATHLETIC CLUB,19,11,8,61,37,68
REAL SOCIEDAD,16,12,10,51,39,60
REAL BETIS,14,15,9,48,45,57
VILLARREAL,14,11,13,65,65,53
VALENCIA,13,10,15,40,45,49
ALAVES,12,10,16,36,46,46
OSASUNA,12,9,17,45,56,45
GETAFE,10,13,15,42,54,43
SEVILLA,10,11,17,48,54,41
CELTA VIGO,10,11,17,46,57,41
LAS PALMAS,10,10,18,33,47,40
MALLORCA,8,16,14,33,44,40
RAYO VALLECANO,8,14,16,29,48,38
CADIZ,6,15,17,26,55,33
GRANADA,4,9,25,38,79,21
ALMERIA,3,12,23,43,75,21
