team,win,draw,loss,gf,ga,point
ATLETICO MADRID,26,8,4,67,25,86
REAL MADRID,25,9,4,67,28,84
BARCELONA,24,7,7,85,38,79
SEVILLA,24,5,9,53,33,77
REAL SOCIEDAD,17,11,10,59,38,62
REAL BETIS,17,10,11,50,50,61
VILLARREAL,15,13,10,60,44,58
CELTA VIGO,14,11,13,55,57,53
GRANADA,13,7,18,47,65,46
ATHLETIC CLUB,11,13,14,46,42,46
OSASUNA,11,11,16,37,48,44
CADIZ,11,11,16,36,58,44
VALENCIA,10,13,15,50,53,43
LEVANTE,9,14,15,46,57,41
GETAFE,9,11,18,28,43,38
ALAVES,9,11,18,36,57,38
ELCHE,8,12,18,34,55,36
HUESCA,7,13,18,34,53,34
VALLADOLID,5,16,17,34,57,31
EIBAR,6,12,20,29,52,30
ATLETICO MADRID,26,8,4,67,25,86
REAL MADRID,25,9,4,67,28,84
BARCELONA,24,7,7,85,38,79
SEVILLA,24,5,9,53,33,77
REAL SOCIEDAD,17,11,10,59,38,62
REAL BETIS,17,10,11,50,50,61
VILLARREAL,15,13,10,60,44,58
CELTA VIGO,14,11,13,55,57,53
GRANADA,13,7,18,47,65,46
ATHLETIC CLUB,11,13,14,46,42,46
OSASUNA,11,11,16,37,48,44
CADIZ,11,11,16,36,58,44
VALENCIA,10,13,15,50,53,43
LEVANTE,9,14,15,46,57,41
GETAFE,9,11,18,28,43,38
ALAVES,9,11,18,36,57,38
ELCHE,8,12,18,34,55,36
HUESCA,7,13,18,34,53,34
VALLADOLID,5,16,17,34,57,31
EIBAR,6,12,20,29,52,30
