team,win,draw,loss,gf,ga,point
BARCELONA,18,3,5,71,25,57
ATLETICO MADRID,16,8,2,43,16,56
REAL MADRID,16,6,4,55,25,54
ATHLETIC CLUB,13,9,4,44,23,48
VILLARREAL,12,8,5,48,35,44
REAL BETIS,10,8,8,34,33,38
RAYO VALLECANO,9,9,8,28,27,36
MALLORCA,10,6,10,25,32,36
REAL SOCIEDAD,10,4,12,23,27,34
CELTA VIGO,9,6,11,38,40,33
SEVILLA,8,9,9,31,36,33
OSASUNA,7,12,7,32,37,33
GIRONA,9,5,12,34,39,32
GETAFE,7,9,10,21,21,30
LEGANES,6,9,11,23,38,27
ESPANYOL,7,6,12,24,36,27
VALENCIA,5,9,12,28,44,24
LAS PALMAS,6,6,14,30,44,24
ALAVES,5,8,13,29,40,23
VALLADOLID,4,4,18,17,60,16
BARCELONA,18,3,5,71,25,57
ATLETICO MADRID,16,8,2,43,16,56
REAL MADRID,16,6,4,55,25,54
ATHLETIC CLUB,13,9,4,44,23,48
VILLARREAL,12,8,5,48,35,44
REAL BETIS,10,8,8,34,33,38
RAYO VALLECANO,9,9,8,28,27,36
MALLORCA,10,6,10,25,32,36
REAL SOCIEDAD,10,4,12,23,27,34
CELTA VIGO,9,6,11,38,40,33
SEVILLA,8,9,9,31,36,33
OSASUNA,7,12,7,32,37,33
GIRONA,9,5,12,34,39,32
GETAFE,7,9,10,21,21,30
LEGANES,6,9,11,23,38,27
ESPANYOL,7,6,12,24,36,27
VALENCIA,5,9,12,28,44,24
LAS PALMAS,6,6,14,30,44,24
ALAVES,5,8,13,29,40,23
VALLADOLID,4,4,18,17,60,16
