Season,Total Goal,Most goal scored by,Highest Goal,Least goal scored by,Lowest Goal
2025,678,BARCELONA,71,VALLADOLID,17
2024,1005,REAL MADRID,87,CADIZ,26
2023,955,REAL MADRID,75,CADIZ,30
2022,951,REAL MADRID,80,ALAVES,31
2021,953,BARCELONA,85,GETAFE,28
2020,942,BARCELONA,86,ESPANYOL,27
